"No","Date","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","sp500"
"151","2014-10-29",46.62,52.17,107.34,549.33,94.59,209600,139.99,75.86,105.56,294.12,25.66,1982.300049
"152","2014-10-30",46.05,52.46,106.98,550.31,94.45,209030,139.54,74.11,107.04,299.07,25.67,1994.650024
"153","2014-10-31",46.95,53.09,108,559.08,96.71,210000,140.16,74.99,107.78,305.46,25.81,2018.050049
"154","2014-11-03",47.44,53.37,109.4,555.22,95.26,211100,140.81,73.88,107.46,305.72,25.7,2017.810059
"155","2014-11-04",47.57,53.27,108.6,554.11,94.52,213000,142.18,75.76,108.62,302.81,25.7,2012.099976
"156","2014-11-06",48.7,54.06,108.7,542.04,96.26,214800,143.29,75.26,109.01,296.64,26.36,2031.209961
"157","2014-11-07",48.68,53.84,109.01,541.01,96.59,214970,143.61,75.6,108.2,299.86,26.41,2031.920044
"158","2014-11-10",48.89,53.83,108.83,547.49,96.28,217500,145.05,75,108.82,305.11,26.47,2038.26001
"159","2014-11-11",48.87,53.58,109.7,550.29,96.41,217352,144.95,74.61,108.91,312.01,26.38,2039.680054
"160","2014-11-12",48.78,53.54,111.25,547.31,95.38,218101,145.52,74.72,108.75,311.51,26.52,2038.25
"161","2014-11-13",49.61,53.39,112.82,545.38,94.66,219300,146.29,74.25,109.07,316.48,26.42,2039.329956
"162","2014-11-14",49.58,53.35,114.18,544.4,95.09,218023,145.52,74.88,108.16,327.82,26.46,2039.819946
"163","2014-11-17",49.46,53.44,113.99,536.51,95.11,218540,145.37,74.24,108.3,323.05,26.61,2041.319946
"164","2014-11-18",48.74,53.27,115.47,535.03,94.87,218868,145.81,74.34,108.83,324.93,27.01,2051.800049
"165","2014-11-19",48.22,53.36,114.67,536.99,95.61,218544,145.65,73.33,108.76,326.54,26.92,2048.719971
"166","2014-11-20",48.7,53.48,116.31,534.83,95.82,218250,145.72,73.6,108.18,330.54,26.85,2052.75
"167","2014-11-21",47.98,53.81,116.47,537.5,96.81,219935,146.7,73.75,107.86,332.63,26.99,2063.5
"168","2014-11-24",47.59,54.1,118.625,539.27,95.72,221052,147.27,74.01,106.88,335.64,27,2069.409912
"169","2014-11-25",47.47,53.88,117.6,541.08,94.78,221725,147.81,75.63,106.7,335.04,26.86,2067.030029
"170","2014-11-26",47.75,54.28,119,540.37,94.48,222411,148.19,77.62,107.21,333.57,26.87,2072.830078
"171","2014-11-28",47.81,54.48,118.93,541.83,90.54,223065,148.69,77.7,108.25,338.64,26.49,2067.560059
"172","2014-12-01",48.62,53.82,115.07,533.8,92.35,222525,148.52,75.1,108.03,326,26.02,2053.439941
"173","2014-12-02",48.46,54.22,114.63,533.75,94.19,225000,149.87,75.46,108.51,326.31,26.05,2066.550049
"174","2014-12-04",48.84,54.5,115.49,537.31,94.37,225215,150.05,75.24,107.56,316.93,26.09,2071.919922
"175","2014-12-05",48.42,55.03,115,525.26,93.82,225640,150.68,76.36,108.51,312.63,26.01,2075.370117
"176","2014-12-09",47.59,54.83,114.12,533.37,91.38,225334,150.46,76.84,108.05,312.5,25.58,2059.820068
"177","2014-12-10",46.9,54.26,111.95,526.06,88.67,223650,149.08,76.18,106.24,305.84,25.27,2026.140015
"178","2014-12-12",46.95,53.7,109.73,518.66,86.6,219000,146.46,77.83,104.43,307.32,24.89,2002.329956
"179","2014-12-15",46.67,53.19,108.225,513.8,86.9,219073,146.12,76.99,103.96,306.07,24.59,1989.630005
"180","2014-12-16",45.16,52.77,106.745,495.39,86.41,218460,145.28,74.69,102.76,295.06,24.49,1972.73999
"181","2014-12-17",45.74,53.79,109.41,504.89,89.02,222800,148.45,76.11,104.07,298.88,24.66,2012.890015
"182","2014-12-18",47.52,55.21,112.65,511.1,91.16,229300,152.67,78.4,106.81,297.73,25.14,2061.22998
"183","2014-12-19",47.66,54.45,111.78,516.35,93.64,227886,151.56,79.88,105.55,299.9,25.62,2070.649902
"184","2014-12-22",47.98,54.97,112.94,524.87,93.33,227720,151.9,81.45,106.74,306.54,25.71,2078.540039
